"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,103,501630,103,25,1654810
2023-06-01,yandex,cpc,prof-frontend,78,1825846,78,12,1057000
2023-06-01,yandex,cpc,prof-python,62,1245403,62,7,613196
2023-06-01,yandex,cpc,base-python,31,102302,31,7,476021
2023-06-01,vk,cpc,prof-python,71,145348,40,5,355564
2023-06-01,vk,cpc,freemium-frontend,80,78763,43,5,338083
2023-06-01,yandex,cpc,prof-java,49,976511,49,4,284590
2023-06-01,yandex,cpc,base-frontend,40,178261,40,3,268515
2023-06-01,vk,cpc,prof-java,51,132757,23,2,232726
2023-06-01,yandex,cpc,prof-data-analytics,14,201507,14,2,220264
2023-06-30,admitad,cpa,admitad,71,,2,2,201150
2023-06-01,yandex,cpc,prof-professions-brand,13,119245,13,3,154287
2023-06-20,telegram,cpp,base-java,3,,1,1,151192
2023-06-01,yandex,cpc,dod-php,4,13995,4,1,150255
2023-06-01,yandex,cpc,base-professions-retarget,4,9115,4,1,134100
